캠페인ID,캠페인명,매체,목적,광고비,노출,클릭,전환,매출
C001,앰플 세트 도달 캠페인,메타,도달,1428000,159290,3988,78,8029796
C013,딥 클렌저 리타겟팅 캠페인,구글애즈,리타겟팅,428000,95287,1004,43,985907
C004,딥 클렌저 리타겟팅 캠페인,구글애즈,리타겟팅,1090000,127650,2796,50,4650214
C011,클렌징 폼 트래픽 캠페인,네이버검색,트래픽,443000,96390,2296,29,1738223
C002,21일 챌린지 트래픽 캠페인,구글애즈,트래픽,803000,156842,946,27,4450597
C023,딥 클렌저 전환 캠페인,메타,전환,1743000,240591,7116,34,1927452
C006,앰플 세트 리타겟팅 캠페인,메타,리타겟팅,1202000,232871,4340,192,7987578
C010,리페어 세럼 도달 캠페인,네이버검색,도달,2072000,361424,6945,223,6138877
C017,톤업 베이스 전환 캠페인,메타,전환,918000,139953,1675,62,2757798
C020,딥 클렌저 전환 캠페인,구글애즈,전환,748000,130332,2862,22,1272010
C022,앰플 세트 전환 캠페인,메타,전환,1146000,185098,2454,22,1732003
C030,앰플 세트 도달 캠페인,구글애즈,도달,2127000,566973,3105,41,1035684
C003,마스크팩 도달 캠페인,메타,도달,1621000,182906,5696,155,7087270
C005,21일 챌린지 도달 캠페인,네이버검색,도달,779000,180032,5686,173,4292557
C019,리페어 세럼 리타겟팅 캠페인,구글애즈,리타겟팅,1476000,233036,7230,96,1591627
C024,포어 토너 도달 캠페인,네이버검색,도달,713000,86138,797,3,761747
C018,앰플 세트 리타겟팅 캠페인,네이버검색,리타겟팅,496000,97982,2180,40,1593337
C014,마스크팩 트래픽 캠페인,네이버검색,트래픽,1568000,257852,8184,259,4985620
C015,마스크팩 리타겟팅 캠페인,네이버검색,리타겟팅,1342000,166393,1729,14,5110436
C026,클렌징 폼 도달 캠페인,구글애즈,도달,429000,56060,1580,14,781306
C029,수분 크림 트래픽 캠페인,구글애즈,트래픽,2393000,536414,4189,29,1689065
C021,클렌징 폼 트래픽 캠페인,네이버검색,트래픽,1380000,184988,5888,84,1912294
C008,마스크팩 전환 캠페인,네이버검색,전환,306000,34249,685,13,1035697
C009,수분 크림 도달 캠페인,구글애즈,도달,1717000,333739,7828,171,4370456
C028,수분 크림 트래픽 캠페인,구글애즈,트래픽,2202000,390913,2206,25,1018728
C012,앰플 세트 트래픽 캠페인,네이버검색,트래픽,1780000,360547,4482,179,5266475
C027,수분 크림 트래픽 캠페인,네이버검색,트래픽,628000,162774,409,6,321222
C025,클렌징 폼 리타겟팅 캠페인,네이버검색,리타겟팅,1325000,149038,1411,8,2351170
C016,리페어 세럼 도달 캠페인,메타,도달,323000,48777,865,31,789636
C007,앰플 세트 트래픽 캠페인,네이버검색,트래픽,880000,106160,2634,55,3412216
