키워드,월검색량,경쟁도,검색의도,기회점수
모공 토너,55767,0.27,브랜드,404.8
수분 크림 추천,1229,0.22,브랜드,9.6
여름 선크림,66777,0.71,비교,191.6
클렌징 순서,56084,0.36,구매,361.5
각질 관리,73488,0.08,브랜드,679.7
속건조,50250,0.9,비교,50.0
민감성 피부,11467,0.21,비교,90.2
톤업 크림,47848,0.37,정보,303.2
레티놀 입문,28543,0.49,브랜드,145.1
홈케어 루틴,37853,0.73,브랜드,102.9
모공 토너 올리브영,25674,0.61,정보,99.5
수분 크림 추천 부작용,15299,0.48,브랜드,79.1
여름 선크림 비교,60580,0.78,브랜드,135.5
클렌징 순서 부작용,45585,0.32,브랜드,311.9
각질 관리 순위,3093,0.46,비교,16.7
속건조 후기,55799,0.05,구매,528.6
민감성 피부 올리브영,72699,0.94,비교,40.9
톤업 크림 효과,12623,0.93,브랜드,9.2
레티놀 입문 2026,12870,0.27,정보,93.8
홈케어 루틴 성분,33096,0.75,정보,81.4
모공 토너 더쿠,59385,0.9,정보,62.1
수분 크림 추천 성분,11011,0.1,브랜드,99.1
여름 선크림 성분,69186,0.15,정보,590.7
클렌징 순서 2026,72671,0.13,정보,631.8
각질 관리 더쿠,14943,0.25,정보,112.0
속건조 가격,68915,0.15,구매,583.5
민감성 피부 더쿠,11727,0.3,비교,82.3
톤업 크림 비교,70360,0.14,브랜드,607.0
레티놀 입문 부작용,48305,0.88,브랜드,56.2
홈케어 루틴 비교,46982,0.74,비교,123.3
모공 토너 후기,69690,0.83,브랜드,121.5
수분 크림 추천 2026,2746,0.51,비교,13.4
여름 선크림 순위,29865,0.66,정보,102.1
클렌징 순서 비교,32171,0.57,구매,137.2
각질 관리 후기,5316,0.33,브랜드,35.8
속건조 성분,71627,0.37,브랜드,448.7
민감성 피부 올리브영,6950,0.48,비교,35.9
톤업 크림 가격,33634,0.75,정보,85.4
레티놀 입문 후기,42775,0.4,비교,254.7
홈케어 루틴 효과,28546,0.82,정보,51.3
모공 토너 순위,56255,0.79,구매,118.1
수분 크림 추천 성분,22216,0.31,정보,153.1
여름 선크림 성분,71758,0.61,브랜드,281.8
클렌징 순서 순위,9528,0.09,구매,86.3
각질 관리 올리브영,34990,0.56,구매,153.7
속건조 비교,47041,0.89,구매,50.4
민감성 피부 가격,10889,0.68,구매,34.9
톤업 크림 효과,3324,0.07,브랜드,30.8
레티놀 입문 더쿠,61140,0.77,정보,137.9
홈케어 루틴 더쿠,40130,0.94,브랜드,24.4
모공 토너 더쿠,53936,0.44,정보,301.9
수분 크림 추천 후기,13750,0.83,구매,22.7
여름 선크림 성분,60371,0.55,브랜드,271.1
클렌징 순서 효과,57092,0.1,구매,513.4
각질 관리 올리브영,63488,0.39,비교,386.2
속건조 순위,3173,0.12,정보,27.8
민감성 피부 더쿠,35253,0.17,정보,293.2
톤업 크림 2026,52728,0.88,구매,63.6
레티놀 입문 후기,15261,0.91,비교,13.5
홈케어 루틴 순위,60062,0.66,브랜드,206.0
모공 토너 가격,54881,0.22,브랜드,427.9
수분 크림 추천 올리브영,6789,0.16,브랜드,57.0
여름 선크림 더쿠,40426,0.07,구매,377.3
클렌징 순서 효과,3089,0.42,브랜드,18.0
각질 관리 올리브영,54760,0.29,정보,391.3
속건조 부작용,67463,0.86,구매,92.1
민감성 피부 더쿠,55418,0.69,구매,170.5
톤업 크림 더쿠,30253,0.87,브랜드,38.8
레티놀 입문 더쿠,20494,0.2,정보,163.3
홈케어 루틴 올리브영,68512,0.22,구매,535.6
모공 토너 더쿠,24275,0.53,브랜드,112.9
수분 크림 추천 순위,28242,0.46,정보,152.6
여름 선크림 부작용,67639,0.85,구매,100.1
클렌징 순서 가격,22466,0.64,브랜드,81.3
각질 관리 성분,9647,0.22,구매,75.1
속건조 부작용,13663,0.27,구매,100.0
민감성 피부 성분,48945,0.58,브랜드,203.6
톤업 크림 부작용,46729,0.13,정보,408.3
레티놀 입문 2026,30816,0.58,브랜드,128.9
홈케어 루틴 후기,72874,0.81,비교,138.8
모공 토너 순위,67982,0.31,비교,471.2
수분 크림 추천 2026,62398,0.79,구매,132.5
여름 선크림 더쿠,18711,0.94,비교,11.2
클렌징 순서 효과,41985,0.78,브랜드,94.0
각질 관리 후기,29105,0.21,구매,228.6
속건조 부작용,34357,0.73,구매,91.4
민감성 피부 부작용,33830,0.33,구매,226.4
톤업 크림 올리브영,39105,0.09,비교,355.7
레티놀 입문 후기,6946,0.36,비교,44.6
홈케어 루틴 부작용,49942,0.65,구매,173.3
모공 토너 비교,4635,0.82,정보,8.1
수분 크림 추천 부작용,29846,0.81,비교,58.0
여름 선크림 더쿠,13114,0.16,브랜드,109.9
클렌징 순서 비교,63670,0.83,구매,106.4
각질 관리 올리브영,42138,0.82,정보,75.9
속건조 후기,61277,0.82,구매,107.6
민감성 피부 가격,13054,0.4,비교,77.7
톤업 크림 효과,47115,0.69,정보,145.4
레티놀 입문 더쿠,22042,0.29,브랜드,156.0
홈케어 루틴 성분,20692,0.75,정보,50.7
