문의ID,고객ID,접수일,유형,채널,상태,내용
T001,CU0157,2026-06-15,사용법 문의,전화,완료,사용법 문의에 대한 고객 문의 내용입니다.
T002,CU0307,2026-06-16,교환 요청,이메일,완료,교환 요청에 대한 고객 문의 내용입니다.
T003,CU0074,2026-06-17,교환 요청,카카오,완료,교환 요청에 대한 고객 문의 내용입니다.
T004,CU0460,2026-06-18,주문 취소,카카오,완료,주문 취소에 대한 고객 문의 내용입니다.
T005,CU0283,2026-06-19,사용법 문의,이메일,완료,사용법 문의에 대한 고객 문의 내용입니다.
T006,CU0128,2026-06-20,품절 재입고 문의,인스타DM,처리중,품절 재입고 문의에 대한 고객 문의 내용입니다.
T007,CU0211,2026-06-21,배송 지연 문의,인스타DM,대기,배송 지연 문의에 대한 고객 문의 내용입니다.
T008,CU0338,2026-06-22,배송 지연 문의,카카오,대기,배송 지연 문의에 대한 고객 문의 내용입니다.
T009,CU0204,2026-06-23,주문 취소,인스타DM,완료,주문 취소에 대한 고객 문의 내용입니다.
T010,CU0442,2026-06-24,회원 정보 변경,카카오,완료,회원 정보 변경에 대한 고객 문의 내용입니다.
T011,CU0044,2026-06-25,교환 요청,인스타DM,완료,교환 요청에 대한 고객 문의 내용입니다.
T012,CU0129,2026-06-26,배송 지연 문의,인스타DM,완료,배송 지연 문의에 대한 고객 문의 내용입니다.
T013,CU0240,2026-06-27,교환 요청,전화,완료,교환 요청에 대한 고객 문의 내용입니다.
T014,CU0231,2026-06-28,포장 파손,전화,완료,포장 파손에 대한 고객 문의 내용입니다.
T015,CU0445,2026-06-29,배송 지연 문의,전화,완료,배송 지연 문의에 대한 고객 문의 내용입니다.
T016,CU0293,2026-06-30,교환 요청,이메일,대기,교환 요청에 대한 고객 문의 내용입니다.
T017,CU0296,2026-07-01,사용법 문의,전화,완료,사용법 문의에 대한 고객 문의 내용입니다.
T018,CU0356,2026-07-02,환불 요청,인스타DM,처리중,환불 요청에 대한 고객 문의 내용입니다.
T019,CU0024,2026-07-03,쿠폰 적용 오류,이메일,완료,쿠폰 적용 오류에 대한 고객 문의 내용입니다.
T020,CU0166,2026-07-04,환불 요청,인스타DM,완료,환불 요청에 대한 고객 문의 내용입니다.
T021,CU0149,2026-07-05,품절 재입고 문의,인스타DM,완료,품절 재입고 문의에 대한 고객 문의 내용입니다.
T022,CU0072,2026-07-06,포장 파손,전화,완료,포장 파손에 대한 고객 문의 내용입니다.
T023,CU0299,2026-07-07,주문 취소,카카오,처리중,주문 취소에 대한 고객 문의 내용입니다.
T024,CU0248,2026-07-08,성분 문의,인스타DM,완료,성분 문의에 대한 고객 문의 내용입니다.
T025,CU0060,2026-07-09,배송 지연 문의,전화,완료,배송 지연 문의에 대한 고객 문의 내용입니다.
T026,CU0370,2026-07-10,주문 취소,카카오,대기,주문 취소에 대한 고객 문의 내용입니다.
T027,CU0200,2026-07-11,주문 취소,전화,완료,주문 취소에 대한 고객 문의 내용입니다.
T028,CU0182,2026-07-12,사용법 문의,카카오,대기,사용법 문의에 대한 고객 문의 내용입니다.
T029,CU0208,2026-07-13,쿠폰 적용 오류,전화,완료,쿠폰 적용 오류에 대한 고객 문의 내용입니다.
T030,CU0148,2026-07-14,회원 정보 변경,이메일,완료,회원 정보 변경에 대한 고객 문의 내용입니다.
T031,CU0094,2026-06-15,성분 문의,전화,대기,성분 문의에 대한 고객 문의 내용입니다.
T032,CU0302,2026-06-16,배송 지연 문의,이메일,완료,배송 지연 문의에 대한 고객 문의 내용입니다.
T033,CU0297,2026-06-17,품절 재입고 문의,전화,완료,품절 재입고 문의에 대한 고객 문의 내용입니다.
T034,CU0255,2026-06-18,교환 요청,카카오,완료,교환 요청에 대한 고객 문의 내용입니다.
T035,CU0294,2026-06-19,회원 정보 변경,이메일,처리중,회원 정보 변경에 대한 고객 문의 내용입니다.
T036,CU0137,2026-06-20,회원 정보 변경,카카오,처리중,회원 정보 변경에 대한 고객 문의 내용입니다.
T037,CU0485,2026-06-21,사용법 문의,카카오,완료,사용법 문의에 대한 고객 문의 내용입니다.
T038,CU0189,2026-06-22,성분 문의,인스타DM,대기,성분 문의에 대한 고객 문의 내용입니다.
T039,CU0247,2026-06-23,포장 파손,전화,대기,포장 파손에 대한 고객 문의 내용입니다.
T040,CU0242,2026-06-24,성분 문의,인스타DM,완료,성분 문의에 대한 고객 문의 내용입니다.
T041,CU0399,2026-06-25,주문 취소,카카오,완료,주문 취소에 대한 고객 문의 내용입니다.
T042,CU0307,2026-06-26,환불 요청,인스타DM,완료,환불 요청에 대한 고객 문의 내용입니다.
T043,CU0288,2026-06-27,환불 요청,인스타DM,완료,환불 요청에 대한 고객 문의 내용입니다.
T044,CU0151,2026-06-28,품절 재입고 문의,인스타DM,완료,품절 재입고 문의에 대한 고객 문의 내용입니다.
T045,CU0410,2026-06-29,품절 재입고 문의,인스타DM,완료,품절 재입고 문의에 대한 고객 문의 내용입니다.
T046,CU0072,2026-06-30,교환 요청,이메일,완료,교환 요청에 대한 고객 문의 내용입니다.
T047,CU0422,2026-07-01,환불 요청,이메일,완료,환불 요청에 대한 고객 문의 내용입니다.
