콘텐츠ID,제목,채널,주제,발행일,조회수,평균체류초,저장수,전환
P006,전문가 인터뷰 콘텐츠 6,틱톡,전문가 인터뷰,2026-06-20,43302,86.0,4622,45
P025,사용 후기 콘텐츠 25,틱톡,사용 후기,2026-07-09,34151,76.8,1711,1180
P010,FAQ 정리 콘텐츠 10,인스타그램,FAQ 정리,2026-06-24,41554,222.6,2841,1110
P023,사용 후기 콘텐츠 23,뉴스레터,사용 후기,2026-07-07,26537,31.1,918,385
P033,사용 후기 콘텐츠 33,블로그,사용 후기,2026-06-17,14724,200.0,1191,242
P005,이벤트 안내 콘텐츠 5,틱톡,이벤트 안내,2026-06-19,48445,190.1,2786,36
P026,FAQ 정리 콘텐츠 26,인스타그램,FAQ 정리,2026-07-10,19611,34.1,1674,367
P024,사용 후기 콘텐츠 24,유튜브,사용 후기,2026-07-08,28936,226.4,1238,887
P003,전문가 인터뷰 콘텐츠 3,유튜브,전문가 인터뷰,2026-06-17,36941,95.0,4181,41
P017,비포애프터 콘텐츠 17,유튜브,비포애프터,2026-07-01,24718,100.1,2485,969
P035,브랜드 스토리 콘텐츠 35,블로그,브랜드 스토리,2026-06-19,4757,116.2,123,124
P015,성분 해설 콘텐츠 15,틱톡,성분 해설,2026-06-29,4173,19.7,474,51
P013,성분 해설 콘텐츠 13,뉴스레터,성분 해설,2026-06-27,30820,40.9,858,1170
P028,이벤트 안내 콘텐츠 28,뉴스레터,이벤트 안내,2026-07-12,5800,198.9,498,219
P031,사용 후기 콘텐츠 31,뉴스레터,사용 후기,2026-06-15,19154,60.9,1662,249
P034,비포애프터 콘텐츠 34,블로그,비포애프터,2026-06-18,27960,203.9,3139,573
P004,전문가 인터뷰 콘텐츠 4,뉴스레터,전문가 인터뷰,2026-06-18,27182,73.3,779,32
P039,사용 후기 콘텐츠 39,블로그,사용 후기,2026-06-23,23223,40.3,1521,946
P007,이벤트 안내 콘텐츠 7,인스타그램,이벤트 안내,2026-06-21,6231,83.7,385,109
P002,사용 후기 콘텐츠 2,유튜브,사용 후기,2026-06-16,42446,23.1,2191,96
P012,비교 리뷰 콘텐츠 12,인스타그램,비교 리뷰,2026-06-26,5837,104.3,607,212
P038,브랜드 스토리 콘텐츠 38,유튜브,브랜드 스토리,2026-06-22,1763,188.6,44,24
P009,계절 관리법 콘텐츠 9,블로그,계절 관리법,2026-06-23,41457,105.8,2277,1498
P011,비포애프터 콘텐츠 11,뉴스레터,비포애프터,2026-06-25,38656,136.5,3566,1587
P022,루틴 가이드 콘텐츠 22,블로그,루틴 가이드,2026-07-06,30711,164.3,2401,875
P014,비포애프터 콘텐츠 14,유튜브,비포애프터,2026-06-28,16705,31.9,779,189
P021,이벤트 안내 콘텐츠 21,블로그,이벤트 안내,2026-07-05,13510,152.6,584,562
P029,계절 관리법 콘텐츠 29,뉴스레터,계절 관리법,2026-07-13,38292,197.1,2329,943
P037,루틴 가이드 콘텐츠 37,인스타그램,루틴 가이드,2026-06-21,10693,59.1,226,267
P036,FAQ 정리 콘텐츠 36,블로그,FAQ 정리,2026-06-20,21817,36.9,1490,538
P020,전문가 인터뷰 콘텐츠 20,뉴스레터,전문가 인터뷰,2026-07-04,23977,155.4,1769,126
P032,전문가 인터뷰 콘텐츠 32,인스타그램,전문가 인터뷰,2026-06-16,2282,86.2,210,23
P040,비포애프터 콘텐츠 40,유튜브,비포애프터,2026-06-24,41642,204.0,3755,1290
P018,사용 후기 콘텐츠 18,인스타그램,사용 후기,2026-07-02,27154,159.1,3088,772
P027,브랜드 스토리 콘텐츠 27,인스타그램,브랜드 스토리,2026-07-11,5812,172.8,305,148
P016,이벤트 안내 콘텐츠 16,인스타그램,이벤트 안내,2026-06-30,7186,40.5,728,165
P030,이벤트 안내 콘텐츠 30,틱톡,이벤트 안내,2026-07-14,8461,75.4,1003,64
P019,비교 리뷰 콘텐츠 19,인스타그램,비교 리뷰,2026-07-03,3828,42.7,259,52
P008,계절 관리법 콘텐츠 8,뉴스레터,계절 관리법,2026-06-22,17241,76.7,1218,295
P001,이벤트 안내 콘텐츠 1,블로그,이벤트 안내,2026-06-15,27502,220.3,1042,16
