게시물ID,브랜드,채널,제목,발행일,조회수,좋아요,댓글
CP001,C브랜드,인스타그램,비교 리뷰 게시물,2026-06-15,79915,2524,104
CP002,C브랜드,뉴스레터,성분 해설 게시물,2026-06-16,49208,864,472
CP003,C브랜드,인스타그램,브랜드 스토리 게시물,2026-06-17,4764,568,445
CP004,C브랜드,인스타그램,비교 리뷰 게시물,2026-06-18,17866,1844,366
CP005,A브랜드,유튜브,비교 리뷰 게시물,2026-06-19,74808,658,275
CP006,B브랜드,인스타그램,브랜드 스토리 게시물,2026-06-20,54115,1485,101
CP007,C브랜드,유튜브,성분 해설 게시물,2026-06-21,42672,2873,287
CP008,B브랜드,블로그,비교 리뷰 게시물,2026-06-22,83222,3676,76
CP009,A브랜드,뉴스레터,계절 관리법 게시물,2026-06-23,28859,2811,187
CP010,B브랜드,블로그,브랜드 스토리 게시물,2026-06-24,20909,2866,377
CP011,B브랜드,틱톡,비교 리뷰 게시물,2026-06-25,4509,331,136
CP012,C브랜드,유튜브,비교 리뷰 게시물,2026-06-26,12032,3884,102
CP013,C브랜드,틱톡,계절 관리법 게시물,2026-06-27,73291,1275,362
CP014,B브랜드,인스타그램,이벤트 안내 게시물,2026-06-28,53641,1718,171
CP015,B브랜드,틱톡,비교 리뷰 게시물,2026-06-29,35839,62,3
CP016,A브랜드,뉴스레터,이벤트 안내 게시물,2026-06-30,19495,1401,379
CP017,A브랜드,뉴스레터,성분 해설 게시물,2026-07-01,56278,40,57
CP018,B브랜드,틱톡,사용 후기 게시물,2026-07-02,43400,388,141
CP019,C브랜드,틱톡,계절 관리법 게시물,2026-07-03,33250,13,141
CP020,A브랜드,유튜브,사용 후기 게시물,2026-07-04,80423,2308,402
CP021,B브랜드,틱톡,루틴 가이드 게시물,2026-07-05,38742,3123,223
CP022,A브랜드,블로그,성분 해설 게시물,2026-07-06,77335,470,198
CP023,A브랜드,뉴스레터,이벤트 안내 게시물,2026-07-07,19883,1289,212
CP024,B브랜드,블로그,루틴 가이드 게시물,2026-07-08,62777,2648,404
CP025,A브랜드,유튜브,계절 관리법 게시물,2026-07-09,33663,1221,421
CP026,A브랜드,뉴스레터,FAQ 정리 게시물,2026-07-10,78023,847,415
CP027,B브랜드,틱톡,FAQ 정리 게시물,2026-07-11,50082,1989,91
CP028,B브랜드,틱톡,비교 리뷰 게시물,2026-07-12,52073,1094,444
CP029,B브랜드,블로그,계절 관리법 게시물,2026-07-13,82642,3015,417
CP030,C브랜드,뉴스레터,전문가 인터뷰 게시물,2026-07-14,3168,1718,280
