리뷰ID,작성일,채널,별점,상품,내용
R001,2026-06-15,올리브영,3,세럼,재입고가 안 돼요
R002,2026-06-16,네이버,5,클렌저,보습력이 좋아요
R003,2026-06-17,자사몰,5,토너,재구매 의사 있어요
R004,2026-06-18,네이버,3,클렌저,향이 너무 강해요
R005,2026-06-19,올리브영,3,선크림,향이 너무 강해요
R006,2026-06-20,올리브영,2,클렌저,향이 너무 강해요
R007,2026-06-21,인스타,2,선크림,향이 너무 강해요
R008,2026-06-22,올리브영,4,선크림,보습력이 좋아요
R009,2026-06-23,올리브영,4,크림,흡수가 빨라요
R010,2026-06-24,네이버,5,세럼,보습력이 좋아요
R011,2026-06-25,네이버,4,세럼,흡수가 빨라요
R012,2026-06-26,자사몰,1,토너,발림성이 무거워요
R013,2026-06-27,인스타,3,토너,발림성이 무거워요
R014,2026-06-28,네이버,1,선크림,설명과 색이 달라요
R015,2026-06-29,네이버,4,클렌저,자극이 없어요
R016,2026-06-30,인스타,4,세럼,성분이 깔끔해요
R017,2026-07-01,네이버,1,클렌저,향이 너무 강해요
R018,2026-07-02,네이버,4,선크림,흡수가 빨라요
R019,2026-07-03,인스타,4,토너,보습력이 좋아요
R020,2026-07-04,자사몰,5,크림,자극이 없어요
R021,2026-07-05,올리브영,4,선크림,성분이 깔끔해요
R022,2026-07-06,인스타,4,선크림,성분이 깔끔해요
R023,2026-07-07,올리브영,4,세럼,성분이 깔끔해요
R024,2026-07-08,인스타,5,세럼,성분이 깔끔해요
R025,2026-07-09,네이버,2,클렌저,향이 너무 강해요
R026,2026-07-10,네이버,4,세럼,자극이 없어요
R027,2026-07-11,인스타,3,선크림,용기 펌프가 잘 안 나와요
R028,2026-07-12,자사몰,3,세럼,향이 너무 강해요
R029,2026-07-13,올리브영,3,선크림,발림성이 무거워요
R030,2026-07-14,자사몰,5,세럼,흡수가 빨라요
R031,2026-06-15,올리브영,4,크림,성분이 깔끔해요
R032,2026-06-16,네이버,2,크림,용기 펌프가 잘 안 나와요
R033,2026-06-17,인스타,5,선크림,성분이 깔끔해요
R034,2026-06-18,자사몰,2,세럼,용기 펌프가 잘 안 나와요
R035,2026-06-19,인스타,4,토너,자극이 없어요
R036,2026-06-20,자사몰,3,클렌저,용기 펌프가 잘 안 나와요
R037,2026-06-21,자사몰,4,세럼,보습력이 좋아요
R038,2026-06-22,자사몰,5,세럼,자극이 없어요
R039,2026-06-23,자사몰,5,세럼,자극이 없어요
R040,2026-06-24,올리브영,4,선크림,흡수가 빨라요
R041,2026-06-25,인스타,1,클렌저,가격이 부담돼요
R042,2026-06-26,자사몰,1,선크림,용기 펌프가 잘 안 나와요
R043,2026-06-27,올리브영,2,클렌저,발림성이 무거워요
R044,2026-06-28,자사몰,2,세럼,용기 펌프가 잘 안 나와요
R045,2026-06-29,자사몰,5,토너,재구매 의사 있어요
R046,2026-06-30,자사몰,5,크림,흡수가 빨라요
R047,2026-07-01,인스타,5,크림,재구매 의사 있어요
R048,2026-07-02,올리브영,3,클렌저,용기 펌프가 잘 안 나와요
R049,2026-07-03,올리브영,4,세럼,보습력이 좋아요
R050,2026-07-04,인스타,5,선크림,보습력이 좋아요
R051,2026-07-05,자사몰,5,세럼,보습력이 좋아요
R052,2026-07-06,인스타,5,크림,재구매 의사 있어요
R053,2026-07-07,올리브영,5,세럼,재구매 의사 있어요
R054,2026-07-08,인스타,4,선크림,재구매 의사 있어요
R055,2026-07-09,올리브영,4,세럼,자극이 없어요
R056,2026-07-10,네이버,4,클렌저,흡수가 빨라요
R057,2026-07-11,인스타,2,토너,배송이 너무 느려요
R058,2026-07-12,인스타,4,토너,보습력이 좋아요
R059,2026-07-13,인스타,4,토너,재구매 의사 있어요
R060,2026-07-14,네이버,5,크림,재구매 의사 있어요
R061,2026-06-15,자사몰,1,크림,배송이 너무 느려요
R062,2026-06-16,자사몰,4,세럼,성분이 깔끔해요
R063,2026-06-17,자사몰,5,크림,보습력이 좋아요
R064,2026-06-18,자사몰,5,클렌저,자극이 없어요
R065,2026-06-19,자사몰,4,클렌저,재구매 의사 있어요
R066,2026-06-20,자사몰,5,토너,성분이 깔끔해요
R067,2026-06-21,인스타,2,클렌저,가격이 부담돼요
R068,2026-06-22,올리브영,5,선크림,성분이 깔끔해요
R069,2026-06-23,인스타,5,토너,재구매 의사 있어요
R070,2026-06-24,올리브영,5,토너,흡수가 빨라요
R071,2026-06-25,네이버,5,클렌저,보습력이 좋아요
R072,2026-06-26,자사몰,1,세럼,향이 너무 강해요
R073,2026-06-27,인스타,5,토너,보습력이 좋아요
R074,2026-06-28,자사몰,2,토너,가격이 부담돼요
R075,2026-06-29,네이버,4,토너,자극이 없어요
R076,2026-06-30,올리브영,2,크림,가격이 부담돼요
R077,2026-07-01,자사몰,1,토너,향이 너무 강해요
R078,2026-07-02,인스타,1,선크림,재입고가 안 돼요
R079,2026-07-03,올리브영,5,선크림,성분이 깔끔해요
R080,2026-07-04,올리브영,1,선크림,설명과 색이 달라요
R081,2026-07-05,인스타,4,클렌저,보습력이 좋아요
R082,2026-07-06,네이버,4,크림,재구매 의사 있어요
R083,2026-07-07,올리브영,1,토너,포장이 과해요
R084,2026-07-08,인스타,4,선크림,보습력이 좋아요
R085,2026-07-09,자사몰,4,세럼,자극이 없어요
R086,2026-07-10,네이버,4,크림,성분이 깔끔해요
R087,2026-07-11,자사몰,3,세럼,설명과 색이 달라요
R088,2026-07-12,자사몰,1,세럼,재입고가 안 돼요
R089,2026-07-13,인스타,5,세럼,성분이 깔끔해요
R090,2026-07-14,네이버,1,토너,재입고가 안 돼요
R091,2026-06-15,인스타,1,세럼,배송이 너무 느려요
R092,2026-06-16,올리브영,2,토너,가격이 부담돼요
R093,2026-06-17,자사몰,2,토너,배송이 너무 느려요
R094,2026-06-18,올리브영,5,토너,보습력이 좋아요
R095,2026-06-19,자사몰,1,토너,향이 너무 강해요
R096,2026-06-20,올리브영,2,세럼,재입고가 안 돼요
R097,2026-06-21,인스타,4,크림,보습력이 좋아요
R098,2026-06-22,자사몰,3,선크림,설명과 색이 달라요
R099,2026-06-23,네이버,4,클렌저,보습력이 좋아요
R100,2026-06-24,자사몰,4,토너,보습력이 좋아요
R101,2026-06-25,자사몰,4,크림,보습력이 좋아요
R102,2026-06-26,자사몰,3,선크림,설명과 색이 달라요
R103,2026-06-27,네이버,1,클렌저,발림성이 무거워요
R104,2026-06-28,인스타,4,토너,보습력이 좋아요
R105,2026-06-29,자사몰,4,크림,재구매 의사 있어요
R106,2026-06-30,자사몰,2,토너,발림성이 무거워요
R107,2026-07-01,올리브영,5,세럼,성분이 깔끔해요
R108,2026-07-02,네이버,5,크림,성분이 깔끔해요
R109,2026-07-03,인스타,4,세럼,재구매 의사 있어요
R110,2026-07-04,인스타,3,클렌저,재입고가 안 돼요
R111,2026-07-05,올리브영,4,토너,보습력이 좋아요
R112,2026-07-06,인스타,3,클렌저,발림성이 무거워요
R113,2026-07-07,올리브영,4,토너,재구매 의사 있어요
R114,2026-07-08,인스타,5,선크림,성분이 깔끔해요
R115,2026-07-09,올리브영,3,클렌저,발림성이 무거워요
R116,2026-07-10,자사몰,3,토너,향이 너무 강해요
R117,2026-07-11,인스타,3,클렌저,가격이 부담돼요
R118,2026-07-12,올리브영,5,클렌저,자극이 없어요
R119,2026-07-13,네이버,3,클렌저,설명과 색이 달라요
R120,2026-07-14,인스타,4,크림,성분이 깔끔해요
R121,2026-06-15,올리브영,3,선크림,향이 너무 강해요
R122,2026-06-16,네이버,2,크림,배송이 너무 느려요
R123,2026-06-17,자사몰,3,클렌저,설명과 색이 달라요
R124,2026-06-18,올리브영,3,세럼,배송이 너무 느려요
R125,2026-06-19,인스타,3,클렌저,재입고가 안 돼요
R126,2026-06-20,자사몰,5,클렌저,보습력이 좋아요
R127,2026-06-21,네이버,3,선크림,재입고가 안 돼요
R128,2026-06-22,인스타,5,크림,흡수가 빨라요
R129,2026-06-23,네이버,1,세럼,가격이 부담돼요
